filename,lpips,ssim
Cat_2015_03234,0.6235195994377136,0.21248286193230811
Cat_2015_03235,0.6448343396186829,0.1690551453061584
Cat_2015_03244,0.5965513586997986,0.15388431211791176
Cat_2015_03253,0.7338696122169495,0.16594558366422585
Cat_2015_03255,0.7866257429122925,0.2977808339054174
Cat_2015_03273,0.7155448794364929,0.04405449465438662
Cat_2015_03274,0.7037761211395264,0.12879290633477145
Cat_2015_03282,0.6706128716468811,0.19182067140962444
Cat_2015_03287,0.7542400360107422,0.20873945682274883
Cat_2015_03305,0.6574841141700745,0.3648370050385526
Cat_2015_03316,0.729408860206604,0.290036093789788
Cat_2015_03318,0.7586836814880371,0.21864160319748507
Cat_2015_03320,0.698272168636322,0.08339148566695816
Cat_2015_03323,0.7392545938491821,0.21737914642060793
Cat_2015_03333,0.6055315732955933,0.12923433264989015
Cat_2015_03336,0.6936554908752441,0.1727476615062391
Cat_2015_03363,0.8087062239646912,0.2061722262846142
Cat_2015_03368,0.9028812050819397,0.07639095023138741
Cat_2015_03382,0.7316362261772156,0.3457283592992299
Cat_2015_03393,0.8505352139472961,0.2875643378042118
Cat_2015_03402,0.6318604350090027,0.4247337376506219
Cat_2015_03409,0.7905179262161255,0.19091383433373066
Cat_2015_03411,0.9174048900604248,0.003768150872073985
Cat_2015_03426,0.478863000869751,0.5017078126024139
Cat_2015_03432,0.6899216175079346,0.4121036370043581
Cat_2015_03475,0.8225693106651306,0.16886772711199285
Cat_2015_03480,0.7424413561820984,0.12420878381936899
Cat_2015_03495,0.6871827840805054,0.35468370836564095
Cat_2015_03496,0.8601682186126709,0.19421214017367924
Cat_2015_03500,0.6375958919525146,0.2310359428626744
Cat_2015_03520,0.7704453468322754,0.09030038561254876
Cat_2015_03528,0.761544406414032,0.09690376570543492
Cat_2015_03530,0.781108021736145,0.13019657521412842
Cat_2015_03540,0.7066472172737122,0.16692643449349184
Cat_2015_03550,0.3394480049610138,0.17494933375125243
Cat_2015_03560,0.8575047850608826,0.27454047151788497
Cat_2015_03573,0.8656719326972961,0.01754557798306128
Cat_2015_03595,0.5773534178733826,0.23426051919473023
Cat_2015_03602,0.6894208788871765,0.33761849342213096
Cat_2015_03607,0.6951297521591187,0.16493414761062528
Cat_2015_03610,0.7663828134536743,0.20823846699123819
Cat_2015_03614,1.0362941026687622,0.01110193305899458
Cat_2015_03615,0.6845937371253967,0.05967902887326363
Cat_2015_03637,0.6655420064926147,0.1675639687544728
Cat_2015_03641,0.5759842395782471,0.38190984412577694
Cat_2015_03662,0.9200479984283447,0.02604290215192225
Cat_2015_03665,0.8489463329315186,0.19667049346311014
Cat_2015_03668,0.8177673816680908,0.09106862725771225
Cat_2015_03675,0.8490173816680908,0.1452660175361787
Cat_2015_03688,0.8017464280128479,0.08232081079329619
Cat_2015_03689,0.7035259008407593,0.08612450446544502
Cat_2015_03708,0.8413291573524475,0.19073889809577702
Cat_2015_03709,0.8467761874198914,0.03330012531022309
Cat_2015_03715,0.9090918302536011,0.058819206420984475
Cat_2015_03740,0.7700794339179993,0.07526462126680998
Cat_2015_03759,0.7691861987113953,0.10146060689845919
Chair_2015_03781,0.5733694434165955,0.4133506094760957
Chair_2015_03802,0.835300862789154,0.15184174916523055
Chair_2015_03809,0.6597549915313721,0.440988915785067
Chair_2015_03841,0.7462931275367737,0.17331366268308845
Chair_2015_03859,0.618935227394104,0.14252953290458964
Chair_2015_03861,0.5972059369087219,0.2883804393234845
Chair_2015_03866,0.7721266746520996,0.10553031520464372
Chair_2015_03875,0.5925043821334839,0.11855722773154447
Chair_2015_03887,0.7105553150177002,0.15938409200315445
Chair_2015_03890,0.6207485198974609,0.17681000645414188
Chair_2015_03898,0.584935188293457,0.19145646219669388
Chair_2015_03900,0.7124053239822388,0.12124572016364075
Chair_2015_03905,0.578348696231842,0.28415207415726446
Chair_2015_03917,0.6264716982841492,0.24425501676393677
Chair_2015_03924,0.7587036490440369,0.2562453802244415
Chair_2015_03938,0.5667409896850586,0.15199728477885033
Chair_2015_03945,0.7012657523155212,0.20524257583608144
Chair_2015_03949,0.7102333903312683,0.13383687870098418
Chair_2015_03956,0.8754748106002808,0.23869971427999712
Chair_2015_03962,0.7406392097473145,0.11337817380884052
Chair_2015_03964,0.7134845852851868,0.12790681288061848
Chair_2015_03982,0.7171778082847595,0.16035122496972068
Chair_2015_03985,0.6760863065719604,0.2962117037268928
Chair_2015_04019,0.7119734287261963,0.15062070485722975
Chair_2015_04026,0.6894552707672119,0.09026459054047305
Chair_2015_04035,0.7629349827766418,0.15806990093021758
Chair_2015_04036,0.8277283310890198,0.215738469183784
Chair_2015_04044,0.8553627133369446,0.06295783377084124
Chair_2015_04046,0.5828021168708801,0.32758348914816054
